"cod_muni";"muni";"var1";"var2";"tipo_estab";"qtd_medios_estabelecimentos"
"1301852";"Iranduba (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"3"
"1301902";"Itacoatiara (AM)";"Total";"Total";"De 200 a menos de 500 ha";"71"
"1301902";"Itacoatiara (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"18"
"1301951";"Itamarati (AM)";"Total";"Total";"De 200 a menos de 500 ha";"8"
"1301951";"Itamarati (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"1302009";"Itapiranga (AM)";"Total";"Total";"De 200 a menos de 500 ha";"11"
"1302009";"Itapiranga (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"1302108";"Japurá (AM)";"Total";"Total";"De 200 a menos de 500 ha";"5"
"1302108";"Japurá (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1302207";"Juruá (AM)";"Total";"Total";"De 200 a menos de 500 ha";"1"
"1302207";"Juruá (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1302306";"Jutaí (AM)";"Total";"Total";"De 200 a menos de 500 ha";"2"
"1302306";"Jutaí (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"1302405";"Lábrea (AM)";"Total";"Total";"De 200 a menos de 500 ha";"90"
"1302405";"Lábrea (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"50"
"1302504";"Manacapuru (AM)";"Total";"Total";"De 200 a menos de 500 ha";"21"
"1302504";"Manacapuru (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"7"
"1302553";"Manaquiri (AM)";"Total";"Total";"De 200 a menos de 500 ha";"22"
"1302553";"Manaquiri (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"1302603";"Manaus (AM)";"Total";"Total";"De 200 a menos de 500 ha";"14"
"1302603";"Manaus (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"3"
"1302702";"Manicoré (AM)";"Total";"Total";"De 200 a menos de 500 ha";"102"
"1302702";"Manicoré (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"45"
"1302801";"Maraã (AM)";"Total";"Total";"De 200 a menos de 500 ha";"-"
"1302801";"Maraã (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1302900";"Maués (AM)";"Total";"Total";"De 200 a menos de 500 ha";"58"
"1302900";"Maués (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"15"
"1303007";"Nhamundá (AM)";"Total";"Total";"De 200 a menos de 500 ha";"56"
"1303007";"Nhamundá (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"8"
"1303106";"Nova Olinda do Norte (AM)";"Total";"Total";"De 200 a menos de 500 ha";"9"
"1303106";"Nova Olinda do Norte (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"1303205";"Novo Airão (AM)";"Total";"Total";"De 200 a menos de 500 ha";"3"
"1303205";"Novo Airão (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1303304";"Novo Aripuanã (AM)";"Total";"Total";"De 200 a menos de 500 ha";"62"
"1303304";"Novo Aripuanã (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"29"
"1303403";"Parintins (AM)";"Total";"Total";"De 200 a menos de 500 ha";"70"
"1303403";"Parintins (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"25"
"1303502";"Pauini (AM)";"Total";"Total";"De 200 a menos de 500 ha";"24"
"1303502";"Pauini (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"1303536";"Presidente Figueiredo (AM)";"Total";"Total";"De 200 a menos de 500 ha";"41"
"1303536";"Presidente Figueiredo (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"22"
"1303569";"Rio Preto da Eva (AM)";"Total";"Total";"De 200 a menos de 500 ha";"30"
"1303569";"Rio Preto da Eva (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"6"
"1303601";"Santa Isabel do Rio Negro (AM)";"Total";"Total";"De 200 a menos de 500 ha";"-"
"1303601";"Santa Isabel do Rio Negro (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1303700";"Santo Antônio do Içá (AM)";"Total";"Total";"De 200 a menos de 500 ha";"5"
"1303700";"Santo Antônio do Içá (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1303809";"São Gabriel da Cachoeira (AM)";"Total";"Total";"De 200 a menos de 500 ha";"1"
"1303809";"São Gabriel da Cachoeira (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1303908";"São Paulo de Olivença (AM)";"Total";"Total";"De 200 a menos de 500 ha";"-"
"1303908";"São Paulo de Olivença (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1303957";"São Sebastião do Uatumã (AM)";"Total";"Total";"De 200 a menos de 500 ha";"25"
"1303957";"São Sebastião do Uatumã (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"1304005";"Silves (AM)";"Total";"Total";"De 200 a menos de 500 ha";"11"
