"id_municipio";"empregos_agro"
2904407;75
2904605;87
2904704;143
2904753;1
2904803;140
2904852;54
2904902;63
2905008;16
2905107;8
2905156;21
2905206;65
2905404;78
2905503;5
2905602;212
2905701;146
2905800;141
2906006;12
2906105;3
2906204;3
2906303;359
2906402;21
2906501;35
2906600;20
2906709;84
2906808;18
2906824;7
2906857;7
2906873;3
2906899;91
2906907;637
2907004;12
2907103;135
2907202;5137
2907301;141
2907400;9
2907509;98
2907608;5
2907806;11
2907905;11
2908002;104
2908101;1180
2908200;1001
2908309;66
2908408;43
2908507;118
2908606;45
2908705;13
2908804;7
2908903;64
2909000;3
2909109;66
2909208;7
2909307;2014
2909406;173
2909505;8
2909604;83
2909703;16
2909802;157
2909901;284
2910008;89
2910057;10
2910107;50
2910206;10
2910305;17
2910404;342
2910503;673
2910602;243
2910701;16
2910727;3388
2910750;2
2910776;17
2910800;695
2910859;6
2910909;73
2911006;117
2911105;1886
2911204;285
2911402;179
2911501;164
2911600;1107
2911659;1
2911709;169
2911808;442
2911857;2
2911907;195
2912004;2
2912103;117
2912202;923
2912301;295
2912400;132
2912608;31
2912707;175
2912806;379
2912905;267
2913101;5
2913200;16
2913309;7
2913408;21
2913457;513
2913507;110
2913606;1424
2913705;592
2913804;15
2913903;148
2914000;150
2914208;5
2914307;46
2914406;26
2914505;57
2914604;40
2914653;858
2914703;301
2914802;877
2914901;421
2915007;84
2915106;48
2915205;490
2915304;217
2915353;12
2915403;169
2915502;210
2915601;2155
2915700;23
2915809;454
2915908;58
2916005;118
2916104;2
2916203;282
2916302;212
2916401;580
2916500;37
2916609;173
2916708;57
2916807;378
2916856;20
2916906;31
2917003;23
2917102;153
2917201;10
2917300;274
2917334;72
2917359;1745
2917409;1
2917508;120
2917607;81
2917706;40
2917805;173
2917904;171
2918001;385
2918100;28
2918209;15
2918308;68
2918357;49
2918407;6380
2918456;198
2918506;6
2918555;84
2918605;6
2918704;61
2918753;31
2918803;70
2918902;200
2919009;13
2919058;10
2919108;3
2919157;71
2919207;81
2919306;44
2919405;11
2919504;261
2919553;2591
2919603;23
2919702;326
2919801;14
2920007;106
2920106;55
2920205;340
2920304;6
2920403;96
2920452;8
2920502;116
2920601;14
2920700;232
2920809;82
2920908;99
2921005;230
2921054;5
2921104;313
2921203;46
2921302;27
2921401;40
2921450;7
2921500;15
2921708;62
2921807;2
2921906;1528
2922003;1452
2922102;87
2922201;23
2922250;74
2922300;218
2922409;12
2922508;55
2922607;40
2922656;1
2922706;174
2922730;9
2922755;69
2922805;26
2922854;7
2922904;27
2923001;1515
2923100;8
2923209;2
2923308;13
2923357;3
2923407;89
2923506;5
2923605;4
2923704;1
2923803;11
2923902;36
2924009;64
2924058;28
2924108;9
2924207;16
2924306;14
2924405;3
2924504;4
2924603;14
2924652;15
2924678;47
2924702;1
2924801;46
2924900;26
2925006;122
2925105;102
2925204;103
2925253;12
2925303;1636
2925402;192
2925501;1126
2925600;10
2925709;2
2925758;71
2925808;47
2925907;8
2925931;2
2925956;39
2926004;22
2926103;14
2926202;1430
2926301;48
2926400;45
2926509;791
2926608;42
2926657;202
2926707;33
2926806;7
2926905;12
2927002;210
2927101;99
2927200;94
2927309;55
2927408;861
2927507;12
2927606;2
2927705;417
2927804;94
2927903;17
2928000;37
2928059;104
2928109;318
2928208;94
2928307;15
2928406;105
2928505;41
2928604;155
2928703;222
2928802;19
2928901;4034
2928950;1
2929008;17
2929057;650
2929107;24
2929206;37
2929255;7
2929305;116
2929354;21
2929370;5
2929404;19
2929503;149
2929602;111
2929701;459
2929800;13
2929909;26
2930006;33
2930105;57
2930154;425
2930204;321
2930303;40
2930402;45
2930501;46
2930600;4
2930709;36
2930758;149
2930774;100
2930907;9
2931004;68
2931103;39
2931202;44
2931301;22
2931350;2200
2931400;70
2931509;4
2931608;25
2931707;69
2931806;32
2931905;36
2932002;5
2932101;66
2932200;70
2932309;57
2932408;3
2932507;630
2932606;35
2932705;417
2932804;53
2932903;952
2933000;13
2933059;13
2933158;3
2933174;17
2933208;19
2933257;162
2933307;1371
2933406;54
2933455;71
2933505;111
2933604;17
3100104;187
3100203;546
3100302;168
3100401;44
3100500;85
3100609;164
3100708;222
3100807;115
3100906;154
3101003;247
3101102;312
3101201;289
3101300;38
3101409;66
3101508;225
3101607;1780
3101631;223
3101706;279
3101805;111
3101904;298
3102001;174
3102050;35
3102100;76
3102209;3
3102308;202
3102407;78
3102506;74
3102605;2030
3102704;14
3102803;326
3102852;251
3102902;412
3103009;236
3103108;18
3103207;55
3103306;18
3103405;284
3103504;1908
3103603;3
3103702;72
3103751;884
3103801;30
3103900;113
3104007;796
3104106;397
3104205;195
3104304;317
3104403;75
3104452;25
3104502;379
3104601;130
3104700;221
3104809;108
3104908;396
3105004;136
3105103;559
3105202;35
3105301;21
3105400;37
3105509;139
3105608;773
3105707;97
3105905;23
3106002;24
3106101;173
3106200;807
3106309;1685
3106408;90
3106507;7
3106606;50
3106655;68
3106705;153
3106804;32
3106903;111
3107000;64
3107109;1555
3107208;66
3107307;909
3107406;1033
3107505;122
3107604;135
3107703;255
3107802;116
3107901;190
3108008;617
3108107;35
3108206;432
3108255;50
3108305;85
3108404;750
3108503;19
3108552;285
3108602;57
3108701;5
3108800;32
3108909;195
3109006;194
3109105;93
3109204;73
3109253;51
3109303;1294
3109402;1373
3109451;388
3109501;603
3109600;24
3109709;194
3109808;278
3109907;142
3110004;151
3110103;22
3110202;81
3110301;166
3110400;26
3110509;155
3110608;117
3110707;480
3110806;85
3110905;597
3111002;464
3111101;632
3111150;8
3111200;377
3111309;416
3111408;847
3111507;791
3111606;1069
3111705;57
3111804;339
3111903;75
3112000;236
3112059;41
3112109;17
3112208;29
3112307;559
