"Cód.";"Município";"Grupos de área total";"Arroz em casca";"Milho em grão";"Soja em grão"
"1100254";"Presidente Médici (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1100254";"Presidente Médici (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100262";"Rio Crespo (RO)";"De 200 a menos de 500 ha";"X";"X";"X"
"1100262";"Rio Crespo (RO)";"De 500 a menos de 1.000 ha";"X";"X";"6236"
"1100262";"Rio Crespo (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"X"
"1100262";"Rio Crespo (RO)";"De 2.500 a menos de 10.000 ha";"-";"X";"X"
"1100262";"Rio Crespo (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100288";"Rolim de Moura (RO)";"De 200 a menos de 500 ha";"X";"599";"X"
"1100288";"Rolim de Moura (RO)";"De 500 a menos de 1.000 ha";"X";"X";"X"
"1100288";"Rolim de Moura (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"1100288";"Rolim de Moura (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1100288";"Rolim de Moura (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100296";"Santa Luzia D'Oeste (RO)";"De 200 a menos de 500 ha";"-";"-";"-"
"1100296";"Santa Luzia D'Oeste (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1100296";"Santa Luzia D'Oeste (RO)";"De 1.000 a menos de 2.500 ha";"-";"4508";"X"
"1100296";"Santa Luzia D'Oeste (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1100296";"Santa Luzia D'Oeste (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100304";"Vilhena (RO)";"De 200 a menos de 500 ha";"X";"1077";"3722"
"1100304";"Vilhena (RO)";"De 500 a menos de 1.000 ha";"-";"X";"X"
"1100304";"Vilhena (RO)";"De 1.000 a menos de 2.500 ha";"X";"X";"36930"
"1100304";"Vilhena (RO)";"De 2.500 a menos de 10.000 ha";"-";"32036";"55671"
"1100304";"Vilhena (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100320";"São Miguel do Guaporé (RO)";"De 200 a menos de 500 ha";"4103";"839";"6301"
"1100320";"São Miguel do Guaporé (RO)";"De 500 a menos de 1.000 ha";"X";"X";"3105"
"1100320";"São Miguel do Guaporé (RO)";"De 1.000 a menos de 2.500 ha";"8140";"796";"8416"
"1100320";"São Miguel do Guaporé (RO)";"De 2.500 a menos de 10.000 ha";"X";"X";"X"
"1100320";"São Miguel do Guaporé (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100338";"Nova Mamoré (RO)";"De 200 a menos de 500 ha";"X";"-";"-"
"1100338";"Nova Mamoré (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1100338";"Nova Mamoré (RO)";"De 1.000 a menos de 2.500 ha";"X";"X";"X"
"1100338";"Nova Mamoré (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1100338";"Nova Mamoré (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100346";"Alvorada D'Oeste (RO)";"De 200 a menos de 500 ha";"-";"X";"X"
"1100346";"Alvorada D'Oeste (RO)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"1100346";"Alvorada D'Oeste (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"1100346";"Alvorada D'Oeste (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1100346";"Alvorada D'Oeste (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100379";"Alto Alegre dos Parecis (RO)";"De 200 a menos de 500 ha";"-";"132";"X"
