"id_municipio","muni","acessos_2019","pop_resid_estimada_2019","acessos_cada_100_mil_hab","class_acessos_100mil_2019"
1400506,"São João da Baliza (RR)",41843,8201,510218.266065114,"Alto"
1400605,"São Luiz (RR)",32878,7986,411695.467067368,"Médio Alto"
1400704,"Uiramutã (RR)",7198,10559,68169.3342172554,"Muito Baixo"
1500107,"Abaetetuba (PA)",681338,157698,432052.403962003,"Médio Alto"
1500131,"Abel Figueiredo (PA)",28123,7434,378302.394404089,"Médio Alto"
1500206,"Acará (PA)",116382,55591,209354.032127503,"Baixo"
1500305,"Afuá (PA)",31522,39218,80376.3577948901,"Muito Baixo"
1500347,"Água Azul do Norte (PA)",43270,27430,157746.992344149,"Muito Baixo"
1500404,"Alenquer (PA)",153316,56789,269974.819067073,"Médio Baixo"
1500503,"Almeirim (PA)",89353,34109,261963.118238588,"Médio Baixo"
1500602,"Altamira (PA)",779009,114594,679799.11688221,"Alto"
1500701,"Anajás (PA)",50792,29277,173487.720736414,"Muito Baixo"
1500800,"Ananindeua (PA)",4094790,530598,771731.141089865,"Muito Alto"
1500859,"Anapu (PA)",65242,27890,233926.138400861,"Baixo"
1500909,"Augusto Corrêa (PA)",89942,45998,195534.588460368,"Baixo"
1500958,"Aurora do Pará (PA)",51809,31338,165323.249728764,"Muito Baixo"
1501006,"Aveiro (PA)",24750,16388,151025.140346595,"Muito Baixo"
1501105,"Bagre (PA)",34902,30673,113787.369999674,"Muito Baixo"
1501204,"Baião (PA)",71041,47446,149730.219618092,"Muito Baixo"
1501253,"Bannach (PA)",11910,3286,362446.743761412,"Médio Alto"
1501303,"Barcarena (PA)",601492,124680,482428.617260186,"Médio Alto"
1501402,"Belém (PA)",19297570,1492745,1292757.30282131,"Muito Alto"
1501451,"Belterra (PA)",53655,17732,302588.540491766,"Médio Baixo"
1501501,"Benevides (PA)",376937,62737,600820.887195754,"Alto"
1501576,"Bom Jesus do Tocantins (PA)",55057,16981,324227.077321713,"Médio Baixo"
1501600,"Bonito (PA)",34754,16286,213398.010561218,"Baixo"
1501709,"Bragança (PA)",499047,127686,390839.246276021,"Médio Alto"
1501725,"Brasil Novo (PA)",74171,15086,491654.514119051,"Médio Alto"
1501758,"Brejo Grande do Araguaia (PA)",27273,7380,369552.845528455,"Médio Alto"
1501782,"Breu Branco (PA)",157775,66046,238886.533628077,"Baixo"
1501808,"Breves (PA)",274549,102701,267328.45834023,"Médio Baixo"
1501907,"Bujaru (PA)",60136,29132,206425.923383221,"Baixo"
1501956,"Cachoeira do Piriá (PA)",30305,33900,89395.2802359882,"Muito Baixo"
1502004,"Cachoeira do Arari (PA)",39508,23767,166230.487650945,"Muito Baixo"
1502103,"Cametá (PA)",305573,137890,221606.352889985,"Baixo"
1502152,"Canaã dos Carajás (PA)",327352,37085,882707.2940542,"Muito Alto"
1502202,"Capanema (PA)",437595,69027,633947.585727324,"Alto"
1502301,"Capitão Poço (PA)",174377,54303,321118.538570613,"Médio Baixo"
1502400,"Castanhal (PA)",1421494,200793,707940.017829307,"Muito Alto"
1502509,"Chaves (PA)",15364,23717,64780.5371674326,"Muito Baixo"
1502608,"Colares (PA)",29782,12085,246437.732726521,"Médio Baixo"
1502707,"Conceição do Araguaia (PA)",219962,47864,459556.242687615,"Médio Alto"
1502756,"Concórdia do Pará (PA)",83881,33318,251758.809052164,"Médio Baixo"
1502764,"Cumaru do Norte (PA)",24172,13473,179410.673198248,"Baixo"
1502772,"Curionópolis (PA)",114804,17929,640325.729265436,"Alto"
1502806,"Curralinho (PA)",49189,34448,142792.034370646,"Muito Baixo"
1502855,"Curuá (PA)",23700,14393,164663.378030987,"Muito Baixo"
1502905,"Curuçá (PA)",104706,40066,261333.799231268,"Médio Baixo"
1502939,"Dom Eliseu (PA)",184990,59719,309767.41070681,"Médio Baixo"
1502954,"Eldorado do Carajás (PA)",126897,33808,375346.071935637,"Médio Alto"
1503002,"Faro (PA)",6472,7194,89963.8587711982,"Muito Baixo"
1503044,"Floresta do Araguaia (PA)",55036,20304,271059.889676911,"Médio Baixo"
1503077,"Garrafão do Norte (PA)",49663,26066,190527.890738894,"Baixo"
1503093,"Goianésia do Pará (PA)",108271,40475,267500.926497838,"Médio Baixo"
1503101,"Gurupá (PA)",53676,33376,160822.147651007,"Muito Baixo"
1503200,"Igarapé-Açu (PA)",110285,38807,284188.419615018,"Médio Baixo"
1503309,"Igarapé-Miri (PA)",142562,62698,227378.86375961,"Baixo"
1503408,"Inhangapi (PA)",27368,11711,233694.816838869,"Baixo"
1503457,"Ipixuna do Pará (PA)",96969,64053,151388.693737998,"Muito Baixo"
1503507,"Irituia (PA)",82843,32550,254509.984639017,"Médio Baixo"
1503606,"Itaituba (PA)",644719,101247,636778.373680208,"Alto"
1503705,"Itupiranga (PA)",174112,53269,326854.267960728,"Médio Baixo"
1503754,"Jacareacanga (PA)",99674,8239,1209782.74062386,"Muito Alto"
1503804,"Jacundá (PA)",233861,59155,395335.981742879,"Médio Alto"
1503903,"Juruti (PA)",132055,57943,227905.010096129,"Baixo"
1504000,"Limoeiro do Ajuru (PA)",46849,28935,161911.180231553,"Muito Baixo"
1504059,"Mãe do Rio (PA)",164892,30077,548232.868969645,"Alto"
1504109,"Magalhães Barata (PA)",18575,8548,217302.29293402,"Baixo"
1504208,"Marabá (PA)",4240308,279349,1517924.88965416,"Muito Alto"
1504307,"Maracanã (PA)",71697,29473,243263.325755776,"Médio Baixo"
1504406,"Marapanim (PA)",69443,28336,245069.875776398,"Médio Baixo"
1504422,"Marituba (PA)",672134,131521,511046.905056987,"Alto"
1504455,"Medicilândia (PA)",87948,31597,278342.880653227,"Médio Baixo"
1504505,"Melgaço (PA)",30567,27654,110533.738338034,"Muito Baixo"
1504604,"Mocajuba (PA)",83752,31136,268987.66700925,"Médio Baixo"
1504703,"Moju (PA)",187670,82094,228603.79564889,"Baixo"
1504752,"Mojuí dos Campos (PA)",16316,16084,101442.427256901,"Muito Baixo"
