"","cod_muni","muni","qtd_cabecas_de_gado_2019","class_gado_2019"
"150",1400605,"São Luiz (RR)",43342,"Médio Baixo"
"151",1400704,"Uiramutã (RR)",19456,"Médio Baixo"
"152",1500107,"Abaetetuba (PA)",2800,"Baixo"
"153",1500131,"Abel Figueiredo (PA)",50371,"Médio Baixo"
"154",1500206,"Acará (PA)",19700,"Médio Baixo"
"155",1500305,"Afuá (PA)",1639,"Muito Baixo"
"156",1500347,"Água Azul do Norte (PA)",660474,"Muito Alto"
"157",1500404,"Alenquer (PA)",205369,"Alto"
"158",1500503,"Almeirim (PA)",28672,"Médio Baixo"
"159",1500602,"Altamira (PA)",759451,"Muito Alto"
"160",1500701,"Anajás (PA)",1640,"Muito Baixo"
"161",1500800,"Ananindeua (PA)",81,"Muito Baixo"
"162",1500859,"Anapu (PA)",283448,"Alto"
"163",1500909,"Augusto Corrêa (PA)",3463,"Baixo"
"164",1500958,"Aurora do Pará (PA)",69214,"Médio Alto"
"165",1501006,"Aveiro (PA)",52493,"Médio Alto"
"166",1501105,"Bagre (PA)",1310,"Muito Baixo"
"167",1501204,"Baião (PA)",59069,"Médio Alto"
"168",1501253,"Bannach (PA)",255959,"Alto"
"169",1501303,"Barcarena (PA)",850,"Muito Baixo"
"170",1501402,"Belém (PA)",32,"Muito Baixo"
"171",1501451,"Belterra (PA)",22788,"Médio Baixo"
"172",1501501,"Benevides (PA)",2369,"Muito Baixo"
"173",1501576,"Bom Jesus do Tocantins (PA)",201920,"Alto"
"174",1501600,"Bonito (PA)",5826,"Baixo"
"175",1501709,"Bragança (PA)",26800,"Médio Baixo"
"176",1501725,"Brasil Novo (PA)",239470,"Alto"
"177",1501758,"Brejo Grande do Araguaia (PA)",112494,"Médio Alto"
"178",1501782,"Breu Branco (PA)",132844,"Médio Alto"
"179",1501808,"Breves (PA)",1985,"Muito Baixo"
"180",1501907,"Bujaru (PA)",7717,"Baixo"
"181",1501956,"Cachoeira do Piriá (PA)",45567,"Médio Baixo"
"182",1502004,"Cachoeira do Arari (PA)",42123,"Médio Baixo"
"183",1502103,"Cametá (PA)",409,"Muito Baixo"
"184",1502152,"Canaã dos Carajás (PA)",243300,"Alto"
"185",1502202,"Capanema (PA)",23985,"Médio Baixo"
"186",1502301,"Capitão Poço (PA)",78377,"Médio Alto"
"187",1502400,"Castanhal (PA)",35398,"Médio Baixo"
"188",1502509,"Chaves (PA)",66748,"Médio Alto"
"189",1502608,"Colares (PA)",560,"Muito Baixo"
"190",1502707,"Conceição do Araguaia (PA)",256439,"Alto"
"191",1502756,"Concórdia do Pará (PA)",11877,"Baixo"
"192",1502764,"Cumaru do Norte (PA)",750015,"Muito Alto"
"193",1502772,"Curionópolis (PA)",244629,"Alto"
"194",1502806,"Curralinho (PA)",205,"Muito Baixo"
"195",1502855,"Curuá (PA)",42411,"Médio Baixo"
"196",1502905,"Curuçá (PA)",2115,"Muito Baixo"
"197",1502939,"Dom Eliseu (PA)",62315,"Médio Alto"
"198",1502954,"Eldorado do Carajás (PA)",342780,"Muito Alto"
"199",1503002,"Faro (PA)",10635,"Baixo"
"200",1503044,"Floresta do Araguaia (PA)",149993,"Alto"
"201",1503077,"Garrafão do Norte (PA)",48555,"Médio Baixo"
"202",1503093,"Goianésia do Pará (PA)",241437,"Alto"
"203",1503101,"Gurupá (PA)",1150,"Muito Baixo"
"204",1503200,"Igarapé-Açu (PA)",20643,"Médio Baixo"
"205",1503309,"Igarapé-Miri (PA)",1800,"Muito Baixo"
"206",1503408,"Inhangapi (PA)",12763,"Baixo"
"207",1503457,"Ipixuna do Pará (PA)",105019,"Médio Alto"
"208",1503507,"Irituia (PA)",67705,"Médio Alto"
"209",1503606,"Itaituba (PA)",316498,"Muito Alto"
"210",1503705,"Itupiranga (PA)",616100,"Muito Alto"
"211",1503754,"Jacareacanga (PA)",80790,"Médio Alto"
"212",1503804,"Jacundá (PA)",176281,"Alto"
"213",1503903,"Juruti (PA)",41231,"Médio Baixo"
"214",1504000,"Limoeiro do Ajuru (PA)",10,"Muito Baixo"
"215",1504059,"Mãe do Rio (PA)",59752,"Médio Alto"
"216",1504109,"Magalhães Barata (PA)",1291,"Muito Baixo"
"217",1504208,"Marabá (PA)",1136100,"Muito Alto"
"218",1504307,"Maracanã (PA)",4045,"Baixo"
"219",1504406,"Marapanim (PA)",4614,"Baixo"
"220",1504422,"Marituba (PA)",120,"Muito Baixo"
"221",1504455,"Medicilândia (PA)",180562,"Alto"
"222",1504505,"Melgaço (PA)",1710,"Muito Baixo"
"223",1504604,"Mocajuba (PA)",1468,"Muito Baixo"
"224",1504703,"Moju (PA)",83000,"Médio Alto"
"225",1504752,"Mojuí dos Campos (PA)",13192,"Baixo"
"226",1504802,"Monte Alegre (PA)",259712,"Alto"
"227",1504901,"Muaná (PA)",6340,"Baixo"
"228",1504950,"Nova Esperança do Piriá (PA)",44607,"Médio Baixo"
"229",1504976,"Nova Ipixuna (PA)",112766,"Médio Alto"
"230",1505007,"Nova Timboteua (PA)",17502,"Médio Baixo"
"231",1505031,"Novo Progresso (PA)",625979,"Muito Alto"
"232",1505064,"Novo Repartimento (PA)",884331,"Muito Alto"
"233",1505106,"Óbidos (PA)",143068,"Alto"
"234",1505205,"Oeiras do Pará (PA)",919,"Muito Baixo"
"235",1505304,"Oriximiná (PA)",125129,"Médio Alto"
"236",1505403,"Ourém (PA)",15310,"Baixo"
"237",1505437,"Ourilândia do Norte (PA)",205609,"Alto"
"238",1505486,"Pacajá (PA)",559776,"Muito Alto"
"239",1505494,"Palestina do Pará (PA)",45900,"Médio Baixo"
"240",1505502,"Paragominas (PA)",318436,"Muito Alto"
"241",1505536,"Parauapebas (PA)",119055,"Médio Alto"
"242",1505551,"Pau D'Arco (PA)",103211,"Médio Alto"
"243",1505601,"Peixe-Boi (PA)",12969,"Baixo"
"244",1505635,"Piçarra (PA)",376647,"Muito Alto"
"245",1505650,"Placas (PA)",146015,"Alto"
"246",1505700,"Ponta de Pedras (PA)",36123,"Médio Baixo"
"247",1505809,"Portel (PA)",18210,"Médio Baixo"
"248",1505908,"Porto de Moz (PA)",46900,"Médio Baixo"
"249",1506005,"Prainha (PA)",110500,"Médio Alto"
"250",1506104,"Primavera (PA)",2554,"Baixo"
"251",1506112,"Quatipuru (PA)",767,"Muito Baixo"
"252",1506138,"Redenção (PA)",289196,"Alto"
"253",1506161,"Rio Maria (PA)",421490,"Muito Alto"
"254",1506187,"Rondon do Pará (PA)",329133,"Muito Alto"
"255",1506195,"Rurópolis (PA)",164522,"Alto"
"256",1506203,"Salinópolis (PA)",381,"Muito Baixo"
"257",1506302,"Salvaterra (PA)",6200,"Baixo"
"258",1506351,"Santa Bárbara do Pará (PA)",881,"Muito Baixo"
"259",1506401,"Santa Cruz do Arari (PA)",25289,"Médio Baixo"
"260",1506500,"Santa Izabel do Pará (PA)",18852,"Médio Baixo"
"261",1506559,"Santa Luzia do Pará (PA)",68975,"Médio Alto"
"262",1506583,"Santa Maria das Barreiras (PA)",608379,"Muito Alto"
"263",1506609,"Santa Maria do Pará (PA)",16026,"Médio Baixo"
