"","cod_muni","muni","pessoal_ocupado_agro","pessoal_ocupado_agro_familiar","perc_familiar_sobre_agro","class_familiar_sobre_agro"
"718",1703891,"Carrasco Bonito (TO)",501,419,0.84,"Médio Alto"
"719",1714302,"Nazaré (TO)",699,418,0.6,"Baixo"
"720",1718402,"Presidente Kennedy (TO)",456,415,0.91,"Muito Alto"
"721",5104526,"Ipiranga do Norte (MT)",2028,412,0.2,"Muito Baixo"
"722",5107404,"São Pedro da Cipa (MT)",524,412,0.79,"Médio Alto"
"723",1712454,"Luzinópolis (TO)",475,409,0.86,"Alto"
"724",1720150,"São Félix do Tocantins (TO)",489,407,0.83,"Médio Alto"
"725",1506112,"Quatipuru (PA)",602,402,0.67,"Baixo"
"726",1506401,"Santa Cruz do Arari (PA)",467,401,0.86,"Alto"
"727",5101001,"Araguaiana (MT)",998,399,0.4,"Muito Baixo"
"728",2109239,"Presidente Médici (MA)",495,392,0.79,"Médio Alto"
"729",2111748,"Senador Alexandre Costa (MA)",566,390,0.69,"Médio Baixo"
"730",1702901,"Axixá do Tocantins (TO)",436,380,0.87,"Alto"
"731",1709807,"Ipueiras (TO)",562,378,0.67,"Baixo"
"732",1721257,"Tupirama (TO)",542,372,0.69,"Médio Baixo"
"733",1712009,"Lajeado (TO)",452,371,0.82,"Médio Alto"
"734",2101251,"Bacabeira (MA)",500,371,0.74,"Médio Baixo"
"735",2104628,"Governador Luiz Rocha (MA)",559,371,0.66,"Baixo"
"736",5105309,"Luciara (MT)",617,371,0.6,"Baixo"
"737",1703826,"Cachoeirinha (TO)",426,370,0.87,"Alto"
"738",5107198,"Ribeirãozinho (MT)",531,365,0.69,"Médio Baixo"
"739",5107248,"Santa Carmem (MT)",930,359,0.39,"Muito Baixo"
"740",1706258,"Crixás do Tocantins (TO)",483,356,0.74,"Médio Baixo"
"741",1703057,"Bandeirantes do Tocantins (TO)",624,348,0.56,"Muito Baixo"
"742",2101772,"Bela Vista do Maranhão (MA)",464,347,0.75,"Médio Baixo"
"743",1702158,"Araguanã (TO)",606,345,0.57,"Muito Baixo"
"744",5107206,"Rio Branco (MT)",525,345,0.66,"Baixo"
"745",1600055,"Serra do Navio (AP)",366,342,0.93,"Muito Alto"
"746",2107308,"Nova Iorque (MA)",447,334,0.75,"Médio Baixo"
"747",1701051,"Angico (TO)",543,332,0.61,"Baixo"
"748",1715259,"Novo Jardim (TO)",427,332,0.78,"Médio Alto"
"749",5100607,"Alto Taquari (MT)",1561,330,0.21,"Muito Baixo"
"750",1718451,"Pugmil (TO)",380,329,0.87,"Alto"
"751",1501501,"Benevides (PA)",466,327,0.7,"Médio Baixo"
"752",1705557,"Combinado (TO)",467,323,0.69,"Médio Baixo"
"753",2112274,"Tufilândia (MA)",334,311,0.93,"Muito Alto"
"754",1720853,"Sucupira (TO)",415,306,0.74,"Médio Baixo"
"755",1715150,"Novo Alegre (TO)",873,305,0.35,"Muito Baixo"
"756",1720002,"Santa Terezinha do Tocantins (TO)",549,303,0.55,"Muito Baixo"
"757",1503002,"Faro (PA)",333,296,0.89,"Alto"
"758",5106703,"Ponte Branca (MT)",352,291,0.83,"Médio Alto"
"759",1507961,"Terra Alta (PA)",345,286,0.83,"Médio Alto"
"760",1708254,"Fortaleza do Tabocão (TO)",419,278,0.66,"Baixo"
"761",1500131,"Abel Figueiredo (PA)",395,272,0.69,"Médio Baixo"
"762",1720937,"Taipas do Tocantins (TO)",353,251,0.71,"Médio Baixo"
"763",1703602,"Brasilândia do Tocantins (TO)",437,244,0.56,"Muito Baixo"
"764",1507904,"Soure (PA)",555,231,0.42,"Muito Baixo"
"765",5102686,"Campos de Júlio (MT)",2121,230,0.11,"Muito Baixo"
"766",1700707,"Alvorada (TO)",565,225,0.4,"Muito Baixo"
"767",5107768,"Santa Rita do Trivelato (MT)",1087,217,0.2,"Muito Baixo"
"768",1715507,"Oliveira de Fátima (TO)",485,208,0.43,"Muito Baixo"
"769",2106755,"Miranda do Norte (MA)",304,194,0.64,"Baixo"
"770",1703883,"Carmolândia (TO)",326,193,0.59,"Baixo"
"771",5101209,"Araguainha (MT)",146,117,0.8,"Médio Alto"
"772",1504422,"Marituba (PA)",105,85,0.81,"Médio Alto"
"773",1718659,"Rio da Conceição (TO)",147,57,0.39,"Muito Baixo"
