"","cod_muni","muni","pessoal_ocupado_agro","pessoal_ocupado_agro_familiar","perc_familiar_sobre_agro","class_familiar_sobre_agro"
"147",2107605,"Palmeirândia (MA)",6735,4469,0.66,"Baixo"
"148",1200708,"Xapuri (AC)",5520,4467,0.81,"Médio Alto"
"149",1101609,"Theobroma (RO)",5219,4462,0.85,"Alto"
"150",1506708,"Santana do Araguaia (PA)",5859,4459,0.76,"Médio Baixo"
"151",1503200,"Igarapé-Açu (PA)",5880,4441,0.76,"Médio Baixo"
"152",1501006,"Aveiro (PA)",4739,4418,0.93,"Muito Alto"
"153",5101407,"Aripuanã (MT)",5518,4390,0.8,"Médio Alto"
"154",1100098,"Espigão D'Oeste (RO)",6715,4374,0.65,"Baixo"
"155",1505502,"Paragominas (PA)",8407,4366,0.52,"Muito Baixo"
"156",1500347,"Água Azul do Norte (PA)",6693,4360,0.65,"Baixo"
"157",2109270,"Presidente Sarney (MA)",5321,4350,0.82,"Médio Alto"
"158",1100379,"Alto Alegre dos Parecis (RO)",7445,4345,0.58,"Baixo"
"159",2106706,"Mirador (MA)",4528,4329,0.96,"Muito Alto"
"160",1301852,"Iranduba (AM)",5700,4309,0.76,"Médio Baixo"
"161",2101905,"Bequimão (MA)",4737,4266,0.9,"Alto"
"162",1503606,"Itaituba (PA)",5288,4239,0.8,"Médio Alto"
"163",1101005,"Governador Jorge Teixeira (RO)",4644,4226,0.91,"Muito Alto"
"164",2100709,"Anajatuba (MA)",4485,4196,0.94,"Muito Alto"
"165",1504976,"Nova Ipixuna (PA)",4442,4187,0.94,"Muito Alto"
"166",1100288,"Rolim de Moura (RO)",5634,4160,0.74,"Médio Baixo"
"167",5107008,"Poxoréu (MT)",6357,4154,0.65,"Baixo"
"168",1200427,"Rodrigues Alves (AC)",4865,4069,0.84,"Médio Alto"
"169",1101500,"Seringueiras (RO)",5166,4054,0.78,"Médio Alto"
"170",5104104,"Guarantã do Norte (MT)",4674,4016,0.86,"Alto"
"171",1507508,"São João do Araguaia (PA)",5113,3986,0.78,"Médio Alto"
"172",1302553,"Manaquiri (AM)",4784,3976,0.83,"Médio Alto"
"173",2109502,"Riachão (MA)",5720,3975,0.69,"Médio Baixo"
"174",1400407,"Normandia (RR)",4245,3970,0.94,"Muito Alto"
