"","cod_muni","muni","total_medios_estab","class_total_medios_estab","total_grandes_estab","class_total_grandes_estab","medios_e_grandes_estab","class_medios_e_grandes_estab"
"145",1400308,"Mucajaí (RR)",149,"Alto",38,"Médio Alto",187,"Alto"
"146",1400407,"Normandia (RR)",21,"Baixo",3,"Baixo",24,"Baixo"
"147",1400456,"Pacaraima (RR)",25,"Médio Baixo",1,"Muito Baixo",26,"Baixo"
"148",1400472,"Rorainópolis (RR)",92,"Médio Alto",17,"Médio Alto",109,"Médio Alto"
"149",1400506,"São João da Baliza (RR)",84,"Médio Alto",12,"Médio Baixo",96,"Médio Alto"
"150",1400605,"São Luiz (RR)",70,"Médio Alto",10,"Médio Baixo",80,"Médio Baixo"
"151",1400704,"Uiramutã (RR)",18,"Baixo",0,0,0,0
"152",1500107,"Abaetetuba (PA)",18,"Baixo",6,"Médio Baixo",24,"Baixo"
"153",1500131,"Abel Figueiredo (PA)",24,"Médio Baixo",3,"Baixo",27,"Baixo"
"154",1500206,"Acará (PA)",43,"Médio Baixo",7,"Médio Baixo",50,"Médio Baixo"
"155",1500305,"Afuá (PA)",117,"Alto",13,"Médio Baixo",130,"Médio Alto"
"156",1500347,"Água Azul do Norte (PA)",321,"Muito Alto",70,"Alto",391,"Muito Alto"
"157",1500404,"Alenquer (PA)",205,"Muito Alto",31,"Médio Alto",236,"Alto"
"158",1500503,"Almeirim (PA)",199,"Muito Alto",15,"Médio Baixo",214,"Alto"
"159",1500602,"Altamira (PA)",581,"Muito Alto",398,"Muito Alto",979,"Muito Alto"
"160",1500701,"Anajás (PA)",29,"Médio Baixo",53,"Alto",82,"Médio Alto"
"161",1500800,"Ananindeua (PA)",0,0,0,0,0,0
"162",1500859,"Anapu (PA)",179,"Alto",56,"Alto",235,"Alto"
"163",1500909,"Augusto Corrêa (PA)",22,"Baixo",2,"Muito Baixo",24,"Baixo"
"164",1500958,"Aurora do Pará (PA)",69,"Médio Alto",17,"Médio Alto",86,"Médio Alto"
"165",1501006,"Aveiro (PA)",49,"Médio Baixo",3,"Baixo",52,"Médio Baixo"
"166",1501105,"Bagre (PA)",36,"Médio Baixo",6,"Médio Baixo",42,"Médio Baixo"
"167",1501204,"Baião (PA)",25,"Médio Baixo",7,"Médio Baixo",32,"Baixo"
"168",1501253,"Bannach (PA)",117,"Alto",65,"Alto",182,"Alto"
"169",1501303,"Barcarena (PA)",5,"Muito Baixo",1,"Muito Baixo",6,"Muito Baixo"
"170",1501402,"Belém (PA)",5,"Muito Baixo",0,0,0,0
"171",1501451,"Belterra (PA)",32,"Médio Baixo",10,"Médio Baixo",42,"Médio Baixo"
"172",1501501,"Benevides (PA)",2,"Muito Baixo",0,0,0,0
"173",1501576,"Bom Jesus do Tocantins (PA)",123,"Alto",28,"Médio Alto",151,"Médio Alto"
"174",1501600,"Bonito (PA)",11,"Baixo",3,"Baixo",14,"Muito Baixo"
"175",1501709,"Bragança (PA)",63,"Médio Alto",8,"Médio Baixo",71,"Médio Baixo"
"176",1501725,"Brasil Novo (PA)",326,"Muito Alto",64,"Alto",390,"Muito Alto"
"177",1501758,"Brejo Grande do Araguaia (PA)",63,"Médio Alto",24,"Médio Alto",87,"Médio Alto"
"178",1501782,"Breu Branco (PA)",171,"Alto",36,"Médio Alto",207,"Alto"
"179",1501808,"Breves (PA)",194,"Muito Alto",20,"Médio Alto",214,"Alto"
"180",1501907,"Bujaru (PA)",6,"Muito Baixo",2,"Muito Baixo",8,"Muito Baixo"
"181",1501956,"Cachoeira do Piriá (PA)",70,"Médio Alto",9,"Médio Baixo",79,"Médio Baixo"
"182",1502004,"Cachoeira do Arari (PA)",28,"Médio Baixo",18,"Médio Alto",46,"Médio Baixo"
"183",1502103,"Cametá (PA)",35,"Médio Baixo",4,"Baixo",39,"Médio Baixo"
"184",1502152,"Canaã dos Carajás (PA)",91,"Médio Alto",12,"Médio Baixo",103,"Médio Alto"
"185",1502202,"Capanema (PA)",15,"Baixo",1,"Muito Baixo",16,"Muito Baixo"
"186",1502301,"Capitão Poço (PA)",67,"Médio Alto",11,"Médio Baixo",78,"Médio Baixo"
"187",1502400,"Castanhal (PA)",33,"Médio Baixo",5,"Baixo",38,"Médio Baixo"
"188",1502509,"Chaves (PA)",171,"Alto",86,"Muito Alto",257,"Muito Alto"
"189",1502608,"Colares (PA)",3,"Muito Baixo",0,0,0,0
"190",1502707,"Conceição do Araguaia (PA)",212,"Muito Alto",46,"Alto",258,"Muito Alto"
"191",1502756,"Concórdia do Pará (PA)",11,"Baixo",2,"Muito Baixo",13,"Muito Baixo"
"192",1502764,"Cumaru do Norte (PA)",132,"Alto",74,"Alto",206,"Alto"
"193",1502772,"Curionópolis (PA)",52,"Médio Alto",33,"Médio Alto",85,"Médio Alto"
"194",1502806,"Curralinho (PA)",27,"Médio Baixo",5,"Baixo",32,"Baixo"
"195",1502855,"Curuá (PA)",28,"Médio Baixo",4,"Baixo",32,"Baixo"
"196",1502905,"Curuçá (PA)",2,"Muito Baixo",0,0,0,0
"197",1502939,"Dom Eliseu (PA)",147,"Alto",36,"Médio Alto",183,"Alto"
"198",1502954,"Eldorado do Carajás (PA)",135,"Alto",16,"Médio Alto",151,"Médio Alto"
"199",1503002,"Faro (PA)",9,"Muito Baixo",0,0,0,0
"200",1503044,"Floresta do Araguaia (PA)",128,"Alto",24,"Médio Alto",152,"Médio Alto"
"201",1503077,"Garrafão do Norte (PA)",57,"Médio Alto",7,"Médio Baixo",64,"Médio Baixo"
"202",1503093,"Goianésia do Pará (PA)",177,"Alto",65,"Alto",242,"Alto"
"203",1503101,"Gurupá (PA)",12,"Baixo",3,"Baixo",15,"Muito Baixo"
"204",1503200,"Igarapé-Açu (PA)",26,"Médio Baixo",12,"Médio Baixo",38,"Médio Baixo"
"205",1503309,"Igarapé-Miri (PA)",17,"Baixo",3,"Baixo",20,"Baixo"
"206",1503408,"Inhangapi (PA)",10,"Baixo",3,"Baixo",13,"Muito Baixo"
"207",1503457,"Ipixuna do Pará (PA)",61,"Médio Alto",30,"Médio Alto",91,"Médio Alto"
"208",1503507,"Irituia (PA)",32,"Médio Baixo",8,"Médio Baixo",40,"Médio Baixo"
"209",1503606,"Itaituba (PA)",283,"Muito Alto",55,"Alto",338,"Muito Alto"
"210",1503705,"Itupiranga (PA)",353,"Muito Alto",56,"Alto",409,"Muito Alto"
"211",1503754,"Jacareacanga (PA)",155,"Alto",34,"Médio Alto",189,"Alto"
"212",1503804,"Jacundá (PA)",108,"Alto",22,"Médio Alto",130,"Médio Alto"
"213",1503903,"Juruti (PA)",15,"Baixo",1,"Muito Baixo",16,"Muito Baixo"
"214",1504000,"Limoeiro do Ajuru (PA)",7,"Muito Baixo",3,"Baixo",10,"Muito Baixo"
"215",1504059,"Mãe do Rio (PA)",16,"Baixo",4,"Baixo",20,"Baixo"
"216",1504109,"Magalhães Barata (PA)",7,"Muito Baixo",1,"Muito Baixo",8,"Muito Baixo"
"217",1504208,"Marabá (PA)",395,"Muito Alto",117,"Muito Alto",512,"Muito Alto"
"218",1504307,"Maracanã (PA)",10,"Baixo",1,"Muito Baixo",11,"Muito Baixo"
"219",1504406,"Marapanim (PA)",5,"Muito Baixo",2,"Muito Baixo",7,"Muito Baixo"
"220",1504422,"Marituba (PA)",0,0,0,0,0,0
"221",1504455,"Medicilândia (PA)",241,"Muito Alto",35,"Médio Alto",276,"Muito Alto"
"222",1504505,"Melgaço (PA)",0,0,0,0,0,0
"223",1504604,"Mocajuba (PA)",7,"Muito Baixo",1,"Muito Baixo",8,"Muito Baixo"
"224",1504703,"Moju (PA)",129,"Alto",35,"Médio Alto",164,"Alto"
"225",1504752,"Mojuí dos Campos (PA)",73,"Médio Alto",19,"Médio Alto",92,"Médio Alto"
"226",1504802,"Monte Alegre (PA)",154,"Alto",7,"Médio Baixo",161,"Alto"
"227",1504901,"Muaná (PA)",27,"Médio Baixo",11,"Médio Baixo",38,"Médio Baixo"
"228",1504950,"Nova Esperança do Piriá (PA)",55,"Médio Alto",1,"Muito Baixo",56,"Médio Baixo"
"229",1504976,"Nova Ipixuna (PA)",89,"Médio Alto",10,"Médio Baixo",99,"Médio Alto"
"230",1505007,"Nova Timboteua (PA)",15,"Baixo",4,"Baixo",19,"Baixo"
"231",1505031,"Novo Progresso (PA)",416,"Muito Alto",229,"Muito Alto",645,"Muito Alto"
"232",1505064,"Novo Repartimento (PA)",627,"Muito Alto",107,"Muito Alto",734,"Muito Alto"
"233",1505106,"Óbidos (PA)",184,"Alto",22,"Médio Alto",206,"Alto"
"234",1505205,"Oeiras do Pará (PA)",13,"Baixo",1,"Muito Baixo",14,"Muito Baixo"
"235",1505304,"Oriximiná (PA)",113,"Alto",6,"Médio Baixo",119,"Médio Alto"
"236",1505403,"Ourém (PA)",24,"Médio Baixo",5,"Baixo",29,"Baixo"
"237",1505437,"Ourilândia do Norte (PA)",133,"Alto",48,"Alto",181,"Alto"
"238",1505486,"Pacajá (PA)",541,"Muito Alto",116,"Muito Alto",657,"Muito Alto"
"239",1505494,"Palestina do Pará (PA)",35,"Médio Baixo",10,"Médio Baixo",45,"Médio Baixo"
"240",1505502,"Paragominas (PA)",124,"Alto",155,"Muito Alto",279,"Muito Alto"
"241",1505536,"Parauapebas (PA)",76,"Médio Alto",11,"Médio Baixo",87,"Médio Alto"
"242",1505551,"Pau D'Arco (PA)",64,"Médio Alto",26,"Médio Alto",90,"Médio Alto"
"243",1505601,"Peixe-Boi (PA)",23,"Médio Baixo",5,"Baixo",28,"Baixo"
"244",1505635,"Piçarra (PA)",167,"Alto",46,"Alto",213,"Alto"
"245",1505650,"Placas (PA)",260,"Muito Alto",31,"Médio Alto",291,"Muito Alto"
"246",1505700,"Ponta de Pedras (PA)",20,"Baixo",2,"Muito Baixo",22,"Baixo"
"247",1505809,"Portel (PA)",38,"Médio Baixo",10,"Médio Baixo",48,"Médio Baixo"
"248",1505908,"Porto de Moz (PA)",203,"Muito Alto",38,"Médio Alto",241,"Alto"
"249",1506005,"Prainha (PA)",64,"Médio Alto",15,"Médio Baixo",79,"Médio Baixo"
"250",1506104,"Primavera (PA)",3,"Muito Baixo",0,0,0,0
"251",1506112,"Quatipuru (PA)",4,"Muito Baixo",0,0,0,0
"252",1506138,"Redenção (PA)",163,"Alto",32,"Médio Alto",195,"Alto"
"253",1506161,"Rio Maria (PA)",229,"Muito Alto",74,"Alto",303,"Muito Alto"
"254",1506187,"Rondon do Pará (PA)",248,"Muito Alto",68,"Alto",316,"Muito Alto"
"255",1506195,"Rurópolis (PA)",256,"Muito Alto",16,"Médio Alto",272,"Muito Alto"
"256",1506203,"Salinópolis (PA)",0,0,0,0,0,0
"257",1506302,"Salvaterra (PA)",8,"Muito Baixo",3,"Baixo",11,"Muito Baixo"
"258",1506351,"Santa Bárbara do Pará (PA)",0,0,0,0,0,0
"259",1506401,"Santa Cruz do Arari (PA)",17,"Baixo",6,"Médio Baixo",23,"Baixo"
"260",1506500,"Santa Izabel do Pará (PA)",23,"Médio Baixo",1,"Muito Baixo",24,"Baixo"
"261",1506559,"Santa Luzia do Pará (PA)",41,"Médio Baixo",16,"Médio Alto",57,"Médio Baixo"
"262",1506583,"Santa Maria das Barreiras (PA)",326,"Muito Alto",115,"Muito Alto",441,"Muito Alto"
"263",1506609,"Santa Maria do Pará (PA)",14,"Baixo",3,"Baixo",17,"Muito Baixo"
"264",1506708,"Santana do Araguaia (PA)",267,"Muito Alto",108,"Muito Alto",375,"Muito Alto"
"265",1506807,"Santarém (PA)",59,"Médio Alto",9,"Médio Baixo",68,"Médio Baixo"
"266",1506906,"Santarém Novo (PA)",8,"Muito Baixo",1,"Muito Baixo",9,"Muito Baixo"
"267",1507003,"Santo Antônio do Tauá (PA)",7,"Muito Baixo",1,"Muito Baixo",8,"Muito Baixo"
"268",1507102,"São Caetano de Odivelas (PA)",9,"Muito Baixo",2,"Muito Baixo",11,"Muito Baixo"
"269",1507151,"São Domingos do Araguaia (PA)",101,"Médio Alto",15,"Médio Baixo",116,"Médio Alto"
"270",1507201,"São Domingos do Capim (PA)",28,"Médio Baixo",4,"Baixo",32,"Baixo"
"271",1507300,"São Félix do Xingu (PA)",1153,"Muito Alto",421,"Muito Alto",1574,"Muito Alto"
"272",1507409,"São Francisco do Pará (PA)",18,"Baixo",9,"Médio Baixo",27,"Baixo"
"273",1507458,"São Geraldo do Araguaia (PA)",206,"Muito Alto",33,"Médio Alto",239,"Alto"
"274",1507466,"São João da Ponta (PA)",7,"Muito Baixo",0,0,0,0
"275",1507474,"São João de Pirabas (PA)",9,"Muito Baixo",0,0,0,0
"276",1507508,"São João do Araguaia (PA)",63,"Médio Alto",9,"Médio Baixo",72,"Médio Baixo"
"277",1507607,"São Miguel do Guamá (PA)",31,"Médio Baixo",8,"Médio Baixo",39,"Médio Baixo"
"278",1507706,"São Sebastião da Boa Vista (PA)",19,"Baixo",4,"Baixo",23,"Baixo"
"279",1507755,"Sapucaia (PA)",27,"Médio Baixo",29,"Médio Alto",56,"Médio Baixo"
