"","cod","nome_muni","uf","pib_per_capita_corrente_2017","ativ_maior_vab_2017","ativ_segundo_maior_vab_2017","ativ_terceiro_maior_vab_2017","ibge_gini_2010","class_pib_per_capita_2017","class_ibge_gini_2010"
"53",1400282,"Iracema","RR",13932.51,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.631,"Médio Alto","Alto"
"54",1501576,"Bom Jesus do Tocantins","PA",9967.05,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5297,"Médio Baixo","Médio Baixo"
"55",1501725,"Brasil Novo","PA",16342.1,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.6838,"Médio Alto","Muito Alto"
"56",1501758,"Brejo Grande do Araguaia","PA",11218.3,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5805,"Médio Baixo","Médio Alto"
"57",1502509,"Chaves","PA",7864.44,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Produção florestal, pesca e aquicultura",0.6732,"Baixo","Muito Alto"
"58",1502954,"Eldorado do Carajás","PA",10924.03,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.58,"Médio Baixo","Médio Alto"
"59",1503705,"Itupiranga","PA",10811.45,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Agricultura, inclusive apoio à agricultura e a pós colheita",0.6186,"Médio Baixo","Alto"
"60",1505064,"Novo Repartimento","PA",11380.39,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5957,"Médio Baixo","Médio Alto"
"61",1505494,"Palestina do Pará","PA",8939.88,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5611,"Médio Baixo","Médio Baixo"
"62",1505551,"Pau D'Arco","PA",13927.32,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5103,"Médio Alto","Baixo"
"63",1600212,"Cutias","AP",12913.84,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.6144,"Médio Baixo","Alto"
"64",1701051,"Angico","TO",10310.04,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.4696,"Médio Baixo","Muito Baixo"
"65",1701309,"Aragominas","TO",10749.47,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5422,"Médio Baixo","Médio Baixo"
"66",1702158,"Araguanã","TO",11381.26,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5285,"Médio Baixo","Médio Baixo"
"67",1702307,"Arapoema","TO",14515.35,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5154,"Médio Alto","Baixo"
"68",1702406,"Arraias","TO",14692.69,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.6146,"Médio Alto","Alto"
"69",1702703,"Aurora do Tocantins","TO",10900.58,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.6931,"Médio Baixo","Muito Alto"
"70",1703008,"Babaçulândia","TO",9531.2,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.4921,"Médio Baixo","Baixo"
"71",1703206,"Bernardo Sayão","TO",17004.32,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.4364,"Médio Alto","Muito Baixo"
"72",1703602,"Brasilândia do Tocantins","TO",16875.46,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.541,"Médio Alto","Médio Baixo"
"73",1703883,"Carmolândia","TO",13805.41,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5013,"Médio Alto","Baixo"
