"","cod_muni","muni","royalties_cfh_energia_eletrica","class_royalties_cfh","royalties_cfem_mineracao","class_royalties_cfem_mineracao"
"158",1506161,"Rio Maria (PA)",0,0,4353.47,"Médio Baixo"
"159",1506195,"Rurópolis (PA)",0,0,75965.88,"Médio Alto"
"160",1506351,"Santa Bárbara do Pará (PA)",0,0,5671.96,"Médio Baixo"
"161",1506500,"Santa Izabel do Pará (PA)",0,0,70302.53,"Médio Alto"
"162",1506583,"Santa Maria das Barreiras (PA)",0,0,39462.56,"Médio Alto"
"163",1506708,"Santana do Araguaia (PA)",0,0,47372.92,"Médio Alto"
"164",1507003,"Santo Antônio do Tauá (PA)",0,0,15598.51,"Médio Baixo"
"165",1507300,"São Félix do Xingu (PA)",0,0,1133322.1,"Muito Alto"
"166",1507458,"São Geraldo do Araguaia (PA)",0,0,37498.75,"Médio Alto"
"167",1507508,"São João do Araguaia (PA)",0,0,18124.11,"Médio Alto"
"168",1507607,"São Miguel do Guamá (PA)",0,0,37960.77,"Médio Alto"
"169",1507979,"Terra Santa (PA)",0,0,8180764.85,"Muito Alto"
"170",1508050,"Trairão (PA)",0,0,9942.77,"Médio Baixo"
"171",1508159,"Uruará (PA)",0,0,1580.15,"Baixo"
"172",1508209,"Vigia (PA)",0,0,92247.33,"Alto"
"173",1600154,"Pedra Branca do Amapari (AP)",0,0,3177305.64,"Muito Alto"
"174",1600204,"Calçoene (AP)",0,0,58954.89,"Médio Alto"
"175",1600303,"Macapá (AP)",0,0,47053.98,"Médio Alto"
"176",1600402,"Mazagão (AP)",0,0,78934.63,"Médio Alto"
"177",1600501,"Oiapoque (AP)",0,0,23459.27,"Médio Alto"
"178",1600600,"Santana (AP)",0,0,2603.91,"Médio Baixo"
"179",1600808,"Vitória do Jari (AP)",0,0,1892584.41,"Muito Alto"
"180",1700301,"Aguiarnópolis (TO)",0,0,5318.05,"Médio Baixo"
"181",1701101,"Aparecida do Rio Negro (TO)",0,0,22057.96,"Médio Alto"
"182",1702109,"Araguaína (TO)",0,0,64645.48,"Médio Alto"
"183",1702208,"Araguatins (TO)",0,0,22945.16,"Médio Alto"
"184",1702406,"Arraias (TO)",0,0,492640.75,"Muito Alto"
"185",1703057,"Bandeirantes do Tocantins (TO)",0,0,862609.28,"Muito Alto"
"186",1705102,"Chapada da Natividade (TO)",0,0,493.43,"Muito Baixo"
"187",1706100,"Cristalândia (TO)",0,0,1502.75,"Baixo"
"188",1708205,"Formoso do Araguaia (TO)",0,0,223934.54,"Alto"
"189",1709302,"Guaraí (TO)",0,0,27617.13,"Médio Alto"
"190",1709500,"Gurupi (TO)",0,0,700.16,"Baixo"
"191",1710706,"Itaguatins (TO)",0,0,177.86,"Muito Baixo"
"192",1711506,"Jaú do Tocantins (TO)",0,0,11.7,"Muito Baixo"
"193",1711902,"Lagoa da Confusão (TO)",0,0,119517.33,"Alto"
"194",1713957,"Muricilândia (TO)",0,0,105.32,"Muito Baixo"
"195",1714203,"Natividade (TO)",0,0,188632.03,"Alto"
"196",1716307,"Pau D'Arco (TO)",0,0,109.44,"Muito Baixo"
"197",1718451,"Pugmil (TO)",0,0,40933.86,"Médio Alto"
"198",1720200,"São Miguel do Tocantins (TO)",0,0,3185.63,"Médio Baixo"
"199",1720903,"Taguatinga (TO)",0,0,261309.02,"Alto"
"200",1720937,"Taipas do Tocantins (TO)",0,0,14961.55,"Médio Baixo"
"201",1721109,"Tocantínia (TO)",0,0,133.46,"Muito Baixo"
"202",1721208,"Tocantinópolis (TO)",0,0,1827.3,"Baixo"
"203",1721257,"Tupirama (TO)",0,0,3075.03,"Médio Baixo"
"204",1722107,"Xambioá (TO)",0,0,644527.43,"Muito Alto"
"205",2100709,"Anajatuba (MA)",0,0,348.87,"Muito Baixo"
"206",2101202,"Bacabal (MA)",0,0,1019.34,"Baixo"
"207",2101251,"Bacabeira (MA)",0,0,803960.47,"Muito Alto"
"208",2101400,"Balsas (MA)",0,0,31105.3,"Médio Alto"
"209",2101608,"Barra do Corda (MA)",0,0,5399.59,"Médio Baixo"
"210",2101772,"Bela Vista do Maranhão (MA)",0,0,313.52,"Muito Baixo"
"211",2103000,"Caxias (MA)",0,0,152326.42,"Alto"
"212",2103307,"Codó (MA)",0,0,2561.17,"Médio Baixo"
"213",2103752,"Davinópolis (MA)",0,0,711.39,"Baixo"
"214",2104305,"Godofredo Viana (MA)",0,0,17268.9,"Médio Alto"
"215",2104552,"Governador Edison Lobão (MA)",0,0,67340.79,"Médio Alto"
"216",2104677,"Governador Nunes Freire (MA)",0,0,39.06,"Muito Baixo"
"217",2104800,"Grajaú (MA)",0,0,119818.19,"Alto"
"218",2105302,"Imperatriz (MA)",0,0,6560.72,"Médio Baixo"
"219",2105401,"Itapecuru Mirim (MA)",0,0,12285.52,"Médio Baixo"
"220",2105427,"Itinga do Maranhão (MA)",0,0,1559.22,"Baixo"
"221",2106326,"Maracaçumé (MA)",0,0,631.33,"Muito Baixo"
"222",2106508,"Matinha (MA)",0,0,127.25,"Muito Baixo"
"223",2106904,"Monção (MA)",0,0,1717.63,"Baixo"
"224",2107506,"Paço do Lumiar (MA)",0,0,113376.43,"Alto"
"225",2108009,"Pastos Bons (MA)",0,0,12832.62,"Médio Baixo"
"226",2108108,"Paulo Ramos (MA)",0,0,5851.08,"Médio Baixo"
"227",2108504,"Pindaré-Mirim (MA)",0,0,1125.62,"Baixo"
"228",2109007,"Porto Franco (MA)",0,0,46401.98,"Médio Alto"
"229",2109106,"Presidente Dutra (MA)",0,0,1579.41,"Baixo"
"230",2109601,"Rosário (MA)",0,0,139192.15,"Alto"
"231",2110203,"Santa Rita (MA)",0,0,19182.18,"Médio Alto"
"232",2110856,"São Francisco do Brejão (MA)",0,0,3474.16,"Médio Baixo"
"233",2111201,"São José de Ribamar (MA)",0,0,43274.67,"Médio Alto"
"234",2111300,"São Luís (MA)",0,0,223534.39,"Alto"
"235",2111508,"São Mateus do Maranhão (MA)",0,0,2073.74,"Baixo"
"236",2112704,"Vargem Grande (MA)",0,0,2185.58,"Baixo"
"237",2112852,"Vila Nova dos Martírios (MA)",0,0,631.05,"Muito Baixo"
"238",2112902,"Vitória do Mearim (MA)",0,0,7631.97,"Médio Baixo"
"239",5100102,"Acorizal (MT)",0,0,1785.72,"Baixo"
"240",5100201,"Água Boa (MT)",0,0,147823.7,"Alto"
"241",5100300,"Alto Araguaia (MT)",0,0,482.05,"Muito Baixo"
"242",5100409,"Alto Garças (MT)",0,0,55964.35,"Médio Alto"
"243",5100805,"Apiacás (MT)",0,0,25633.27,"Médio Alto"
"244",5101308,"Arenápolis (MT)",0,0,3.88,"Muito Baixo"
"245",5101803,"Barra do Garças (MT)",0,0,4694.71,"Médio Baixo"
"246",5101902,"Brasnorte (MT)",0,0,28420.4,"Médio Alto"
"247",5102504,"Cáceres (MT)",0,0,297857.17,"Alto"
"248",5102637,"Campo Novo do Parecis (MT)",0,0,9144.38,"Médio Baixo"
"249",5102678,"Campo Verde (MT)",0,0,19573.93,"Médio Alto"
"250",5102686,"Campos de Júlio (MT)",0,0,173.95,"Muito Baixo"
"251",5102702,"Canarana (MT)",0,0,211.61,"Muito Baixo"
"252",5102793,"Carlinda (MT)",0,0,26729.99,"Médio Alto"
"253",5103106,"Cocalinho (MT)",0,0,612895.91,"Muito Alto"
"254",5103205,"Colíder (MT)",0,0,116239.02,"Alto"
"255",5103254,"Colniza (MT)",0,0,70880.01,"Médio Alto"
"256",5103304,"Comodoro (MT)",0,0,5276.36,"Médio Baixo"
"257",5103353,"Confresa (MT)",0,0,35593.24,"Médio Alto"
"258",5103403,"Cuiabá (MT)",0,0,317072.61,"Alto"
"259",5103452,"Denise (MT)",0,0,4805.2,"Médio Baixo"
"260",5103502,"Diamantino (MT)",0,0,57334.34,"Médio Alto"
"261",5103601,"Dom Aquino (MT)",0,0,282405.35,"Alto"
"262",5103908,"General Carneiro (MT)",0,0,4707.78,"Médio Baixo"
"263",5103957,"Glória D'Oeste (MT)",0,0,38365.97,"Médio Alto"
"264",5104104,"Guarantã do Norte (MT)",0,0,4870.65,"Médio Baixo"
"265",5104203,"Guiratinga (MT)",0,0,65071.3,"Médio Alto"
"266",5104526,"Ipiranga do Norte (MT)",0,0,5834.4,"Médio Baixo"
"267",5104559,"Itaúba (MT)",0,0,32.5,"Muito Baixo"
"268",5104807,"Jaciara (MT)",0,0,117449.17,"Alto"
"269",5104906,"Jangada (MT)",0,0,21374.25,"Médio Alto"
"270",5105150,"Juína (MT)",0,0,4014.62,"Médio Baixo"
"271",5105200,"Juscimeira (MT)",0,0,1517.14,"Baixo"
"272",5105234,"Lambari D'Oeste (MT)",0,0,1157.8,"Baixo"
"273",5105507,"Vila Bela da Santíssima Trindade (MT)",0,0,889730.71,"Muito Alto"
"274",5105580,"Marcelândia (MT)",0,0,1804.61,"Baixo"
"275",5105606,"Matupá (MT)",0,0,127860.83,"Alto"
"276",5105903,"Nobres (MT)",0,0,2614213.92,"Muito Alto"
"277",5106109,"Nossa Senhora do Livramento (MT)",0,0,237028.86,"Alto"
"278",5106158,"Nova Bandeirantes (MT)",0,0,2194.21,"Baixo"
"279",5106182,"Nova Lacerda (MT)",0,0,76242.97,"Médio Alto"
"280",5106190,"Nova Santa Helena (MT)",0,0,10930.22,"Médio Baixo"
"281",5106216,"Nova Canaã do Norte (MT)",0,0,3772.04,"Médio Baixo"
"282",5106257,"Nova Xavantina (MT)",0,0,284837.57,"Alto"
"283",5106265,"Novo Mundo (MT)",0,0,60868.87,"Médio Alto"
"284",5106307,"Paranatinga (MT)",0,0,213618.64,"Alto"
"285",5106372,"Pedra Preta (MT)",0,0,2667.6,"Médio Baixo"
"286",5106422,"Peixoto de Azevedo (MT)",0,0,482834.24,"Muito Alto"
"287",5106455,"Planalto da Serra (MT)",0,0,35849.26,"Médio Alto"
"288",5106505,"Poconé (MT)",0,0,372176.09,"Alto"
"289",5106802,"Porto dos Gaúchos (MT)",0,0,1335.9,"Baixo"
"290",5106828,"Porto Esperidião (MT)",0,0,176695.98,"Alto"
"291",5107008,"Poxoréu (MT)",0,0,57597.35,"Médio Alto"
"292",5107040,"Primavera do Leste (MT)",0,0,128945.04,"Alto"
"293",5107065,"Querência (MT)",0,0,4022.17,"Médio Baixo"
"294",5107180,"Ribeirão Cascalheira (MT)",0,0,4386.94,"Médio Baixo"
"295",5107198,"Ribeirãozinho (MT)",0,0,263.5,"Muito Baixo"
"296",5107404,"São Pedro da Cipa (MT)",0,0,754.53,"Baixo"
"297",5107602,"Rondonópolis (MT)",0,0,31612.56,"Médio Alto"
"298",5107701,"Rosário Oeste (MT)",0,0,618221.24,"Muito Alto"
"299",5107800,"Santo Antônio do Leverger (MT)",0,0,231426.66,"Alto"
"300",5107859,"São Félix do Araguaia (MT)",0,0,46.47,"Muito Baixo"
"301",5107875,"Sapezal (MT)",0,0,3080.35,"Médio Baixo"
"302",5107909,"Sinop (MT)",0,0,68579.62,"Médio Alto"
"303",5107925,"Sorriso (MT)",0,0,131939.2,"Alto"
"304",5108055,"Terra Nova do Norte (MT)",0,0,169726.78,"Alto"
"305",5108204,"Torixoréu (MT)",0,0,1159.21,"Baixo"
"306",5108402,"Várzea Grande (MT)",0,0,33333.06,"Médio Alto"
"307",5108600,"Vila Rica (MT)",0,0,11121.31,"Médio Baixo"
