"","cod_muni","muni","arroz_em_casca_1","milho_em_grao_1","soja_em_grao_1","valor_producao","class_valor_producao"
"184",1710508,"Itacajá (TO)",27,1376,9487,10890,"Médio Alto"
"185",1710706,"Itaguatins (TO)",17,15,0,32,"Baixo"
"186",1710904,"Itapiratins (TO)",0,20411,23981,44392,"Alto"
"187",1711506,"Jaú do Tocantins (TO)",0,117,0,117,"Médio Baixo"
"188",1711902,"Lagoa da Confusão (TO)",105767,74,47114,152955,"Alto"
"189",1711951,"Lagoa do Tocantins (TO)",0,5,0,5,"Muito Baixo"
"190",1712405,"Lizarda (TO)",31,12,0,43,"Baixo"
"191",1712504,"Marianópolis do Tocantins (TO)",0,0,40543,40543,"Alto"
"192",1712702,"Mateiros (TO)",5,11657,46978,58640,"Alto"
"193",1713205,"Miracema do Tocantins (TO)",0,1346,4978,6324,"Médio Alto"
"194",1713304,"Miranorte (TO)",30,0,1407,1437,"Médio Alto"
"195",1713601,"Monte do Carmo (TO)",0,48,63307,63355,"Alto"
"196",1713809,"Palmeiras do Tocantins (TO)",0,118,0,118,"Médio Baixo"
"197",1714203,"Natividade (TO)",11,6,0,17,"Baixo"
"198",1714880,"Nova Olinda (TO)",0,10,0,10,"Muito Baixo"
"199",1715101,"Novo Acordo (TO)",0,663,3643,4306,"Médio Alto"
"200",1715259,"Novo Jardim (TO)",0,20,0,20,"Baixo"
"201",1715705,"Palmeirante (TO)",0,345,7584,7929,"Médio Alto"
"202",1715754,"Palmeirópolis (TO)",11,428,0,439,"Médio Baixo"
"203",1716109,"Paraíso do Tocantins (TO)",0,656,0,656,"Médio Alto"
"204",1716208,"Paranã (TO)",73,195,0,268,"Médio Baixo"
"205",1716505,"Pedro Afonso (TO)",0,3862,22676,26538,"Médio Alto"
"206",1716604,"Peixe (TO)",32,4446,113762,118240,"Alto"
"207",1717008,"Pindorama do Tocantins (TO)",22,58,0,80,"Médio Baixo"
"208",1717503,"Pium (TO)",27047,4706,10688,42441,"Alto"
"209",1717800,"Ponte Alta do Bom Jesus (TO)",19,15,0,34,"Baixo"
"210",1717909,"Ponte Alta do Tocantins (TO)",0,90,0,90,"Médio Baixo"
"211",1718006,"Porto Alegre do Tocantins (TO)",0,123,0,123,"Médio Baixo"
"212",1718204,"Porto Nacional (TO)",3,13794,71167,84964,"Alto"
