"","cod_muni","muni","empregos_energia","class_empregos_energia","empregos_petroleo","class_empregos_petroleo","empregos_mineracao","class_empregos_mineracao","empregos_agro","class_empregos_agro"
"81",1100379,"Alto Alegre dos Parecis (RO)",17,"Médio Alto",0,0,0,0,120,"Médio Baixo"
"82",1506138,"Redenção (PA)",17,"Médio Alto",0,0,13,"Médio Baixo",736,"Muito Alto"
"83",5106182,"Nova Lacerda (MT)",17,"Médio Alto",0,0,97,"Muito Alto",419,"Muito Alto"
"84",5107305,"São José do Rio Claro (MT)",17,"Médio Alto",0,0,0,0,1043,"Muito Alto"
"85",1300706,"Boca do Acre (AM)",16,"Médio Alto",0,0,0,0,371,"Médio Alto"
"86",1505502,"Paragominas (PA)",16,"Médio Alto",0,0,1548,"Muito Alto",2955,"Muito Alto"
"87",1506708,"Santana do Araguaia (PA)",16,"Médio Alto",0,0,9,"Médio Baixo",1358,"Muito Alto"
"88",1100064,"Colorado do Oeste (RO)",15,"Médio Alto",0,0,0,0,178,"Médio Alto"
"89",1500107,"Abaetetuba (PA)",15,"Médio Alto",0,0,10,"Médio Baixo",246,"Médio Alto"
"90",1301001,"Carauari (AM)",14,"Médio Alto",0,0,0,0,10,"Baixo"
"91",1302900,"Maués (AM)",14,"Médio Alto",0,0,0,0,16,"Baixo"
"92",1502202,"Capanema (PA)",14,"Médio Alto",0,0,2,"Baixo",233,"Médio Alto"
"93",1505304,"Oriximiná (PA)",14,"Médio Alto",0,0,1504,"Muito Alto",56,"Médio Baixo"
"94",2101400,"Balsas (MA)",14,"Médio Alto",0,0,20,"Médio Alto",2828,"Muito Alto"
"95",5106265,"Novo Mundo (MT)",14,"Médio Alto",0,0,0,0,398,"Muito Alto"
"96",1300508,"Barreirinha (AM)",13,"Médio Alto",0,0,0,0,0,0
"97",1302108,"Japurá (AM)",13,"Médio Alto",0,0,0,0,0,0
"98",1302702,"Manicoré (AM)",13,"Médio Alto",0,0,0,0,41,"Médio Baixo"
"99",1500701,"Anajás (PA)",13,"Médio Alto",0,0,0,0,0,0
"100",1700707,"Alvorada (TO)",13,"Médio Alto",0,0,0,0,146,"Médio Alto"
"101",1716208,"Paranã (TO)",13,"Médio Alto",0,0,0,0,116,"Médio Baixo"
"102",2109908,"Santa Inês (MA)",13,"Médio Alto",0,0,0,0,184,"Médio Alto"
"103",5103007,"Chapada dos Guimarães (MT)",13,"Médio Alto",0,0,0,0,772,"Muito Alto"
"104",5107792,"Santo Antônio do Leste (MT)",13,"Médio Alto",0,0,0,0,1045,"Muito Alto"
"105",1100148,"Nova Brasilândia D'Oeste (RO)",12,"Médio Alto",0,0,57,"Muito Alto",66,"Médio Baixo"
"106",1301407,"Eirunepé (AM)",12,"Médio Alto",0,0,0,0,0,0
"107",1303205,"Novo Airão (AM)",12,"Médio Alto",0,0,0,0,0,0
"108",1304401,"Urucurituba (AM)",12,"Médio Alto",0,0,0,0,0,0
"109",1702208,"Araguatins (TO)",12,"Médio Alto",0,0,29,"Médio Alto",215,"Médio Alto"
"110",1716703,"Colméia (TO)",12,"Médio Alto",0,0,0,0,78,"Médio Baixo"
"111",2109007,"Porto Franco (MA)",12,"Médio Alto",0,0,42,"Médio Alto",197,"Médio Alto"
"112",5107925,"Sorriso (MT)",12,"Médio Alto",0,0,47,"Médio Alto",3957,"Muito Alto"
"113",1301852,"Iranduba (AM)",11,"Médio Alto",0,0,0,0,156,"Médio Alto"
"114",1302405,"Lábrea (AM)",11,"Médio Alto",0,0,0,0,108,"Médio Baixo"
"115",1303569,"Rio Preto da Eva (AM)",11,"Médio Alto",0,0,0,0,170,"Médio Alto"
"116",1707108,"Divinópolis do Tocantins (TO)",11,"Médio Alto",0,0,1,"Muito Baixo",205,"Médio Alto"
"117",1716505,"Pedro Afonso (TO)",11,"Médio Alto",0,0,1,"Muito Baixo",199,"Médio Alto"
"118",1720903,"Taguatinga (TO)",11,"Médio Alto",0,0,54,"Muito Alto",102,"Médio Baixo"
"119",5101258,"Araputanga (MT)",11,"Médio Alto",0,0,0,0,454,"Muito Alto"
"120",5106752,"Pontes e Lacerda (MT)",11,"Médio Alto",0,0,308,"Muito Alto",1282,"Muito Alto"
"121",1300607,"Benjamin Constant (AM)",10,"Médio Alto",0,0,0,0,0,0
"122",1300680,"Boa Vista do Ramos (AM)",10,"Médio Alto",0,0,0,0,0,0
"123",1301100,"Careiro (AM)",10,"Médio Alto",0,0,0,0,4,"Muito Baixo"
"124",1302553,"Manaquiri (AM)",10,"Médio Alto",0,0,0,0,0,0
"125",1502509,"Chaves (PA)",10,"Médio Alto",0,0,0,0,153,"Médio Alto"
"126",1702307,"Arapoema (TO)",10,"Médio Alto",0,0,0,0,338,"Médio Alto"
"127",1715754,"Palmeirópolis (TO)",10,"Médio Alto",0,0,10,"Médio Baixo",128,"Médio Alto"
"128",5103502,"Diamantino (MT)",10,"Médio Alto",0,0,22,"Médio Alto",3327,"Muito Alto"
"129",5106281,"Novo São Joaquim (MT)",10,"Médio Alto",0,0,0,0,914,"Muito Alto"
"130",5108907,"Nova Maringá (MT)",10,"Médio Alto",0,0,0,0,752,"Muito Alto"
"131",1303700,"Santo Antônio do Içá (AM)",9,"Médio Alto",0,0,0,0,0,0
"132",1303908,"São Paulo de Olivença (AM)",9,"Médio Alto",0,0,0,0,0,0
"133",1304302,"Urucará (AM)",9,"Médio Alto",0,0,5,"Baixo",4,"Muito Baixo"
"134",1501006,"Aveiro (PA)",9,"Médio Alto",0,0,15,"Médio Baixo",41,"Médio Baixo"
"135",1506401,"Santa Cruz do Arari (PA)",9,"Médio Alto",0,0,0,0,18,"Baixo"
"136",1702000,"Araguaçu (TO)",9,"Médio Alto",0,0,0,0,573,"Muito Alto"
"137",1702406,"Arraias (TO)",9,"Médio Alto",0,0,25,"Médio Alto",160,"Médio Alto"
"138",1709005,"Goiatins (TO)",9,"Médio Alto",0,0,0,0,196,"Médio Alto"
"139",1710508,"Itacajá (TO)",9,"Médio Alto",0,0,0,0,62,"Médio Baixo"
"140",1711902,"Lagoa da Confusão (TO)",9,"Médio Alto",0,0,26,"Médio Alto",800,"Muito Alto"
"141",1713304,"Miranorte (TO)",9,"Médio Alto",0,0,0,0,216,"Médio Alto"
"142",1714880,"Nova Olinda (TO)",9,"Médio Alto",0,0,0,0,90,"Médio Baixo"
"143",1718865,"Santa Fé do Araguaia (TO)",9,"Médio Alto",0,0,0,0,315,"Médio Alto"
"144",1722107,"Xambioá (TO)",9,"Médio Alto",0,0,58,"Muito Alto",244,"Médio Alto"
"145",5101902,"Brasnorte (MT)",9,"Médio Alto",6,"Baixo",0,0,1744,"Muito Alto"
"146",1300029,"Alvarães (AM)",8,"Médio Baixo",0,0,0,0,1,"Muito Baixo"
"147",1300201,"Atalaia do Norte (AM)",8,"Médio Baixo",0,0,0,0,0,0
"148",1300409,"Barcelos (AM)",8,"Médio Baixo",0,0,5,"Baixo",0,0
"149",1300631,"Beruri (AM)",8,"Médio Baixo",0,0,0,0,0,0
"150",1301159,"Careiro da Várzea (AM)",8,"Médio Baixo",0,0,0,0,0,0
"151",1303304,"Novo Aripuanã (AM)",8,"Médio Baixo",0,0,0,0,3,"Muito Baixo"
"152",1303502,"Pauini (AM)",8,"Médio Baixo",0,0,0,0,0,0
"153",1701002,"Ananás (TO)",8,"Médio Baixo",0,0,0,0,222,"Médio Alto"
"154",1706100,"Cristalândia (TO)",8,"Médio Baixo",0,0,0,0,205,"Médio Alto"
"155",1707207,"Dois Irmãos do Tocantins (TO)",8,"Médio Baixo",0,0,0,0,203,"Médio Alto"
"156",1714203,"Natividade (TO)",8,"Médio Baixo",0,0,155,"Muito Alto",134,"Médio Alto"
"157",1717909,"Ponte Alta do Tocantins (TO)",8,"Médio Baixo",0,0,0,0,74,"Médio Baixo"
"158",5102603,"Campinápolis (MT)",8,"Médio Baixo",0,0,0,0,363,"Médio Alto"
"159",5106000,"Nortelândia (MT)",8,"Médio Baixo",0,0,0,0,266,"Médio Alto"
"160",1301308,"Codajás (AM)",7,"Médio Baixo",0,0,0,0,0,0
"161",1301803,"Ipixuna (AM)",7,"Médio Baixo",0,0,0,0,1,"Muito Baixo"
"162",1303007,"Nhamundá (AM)",7,"Médio Baixo",0,0,0,0,0,0
"163",1303601,"Santa Isabel do Rio Negro (AM)",7,"Médio Baixo",0,0,0,0,0,0
"164",1304005,"Silves (AM)",7,"Médio Baixo",0,0,0,0,0,0
"165",1304260,"Uarini (AM)",7,"Médio Baixo",0,0,0,0,0,0
"166",1508407,"Xinguara (PA)",7,"Médio Baixo",0,0,44,"Médio Alto",1151,"Muito Alto"
"167",1600279,"Laranjal do Jari (AP)",7,"Médio Baixo",0,0,0,0,2,"Muito Baixo"
"168",1700400,"Almas (TO)",7,"Médio Baixo",0,0,8,"Médio Baixo",148,"Médio Alto"
"169",1718402,"Presidente Kennedy (TO)",7,"Médio Baixo",0,0,0,0,44,"Médio Baixo"
"170",1718907,"Santa Rosa do Tocantins (TO)",7,"Médio Baixo",0,0,0,0,162,"Médio Alto"
"171",1722081,"Wanderlândia (TO)",7,"Médio Baixo",0,0,2,"Baixo",157,"Médio Alto"
"172",2102606,"Cândido Mendes (MA)",7,"Médio Baixo",0,0,0,0,2,"Muito Baixo"
"173",2103000,"Caxias (MA)",7,"Médio Baixo",0,0,25,"Médio Alto",268,"Médio Alto"
"174",2105401,"Itapecuru Mirim (MA)",7,"Médio Baixo",0,0,2,"Baixo",35,"Médio Baixo"
"175",5100607,"Alto Taquari (MT)",7,"Médio Baixo",0,0,1,"Muito Baixo",587,"Muito Alto"
"176",5105259,"Lucas do Rio Verde (MT)",7,"Médio Baixo",0,0,18,"Médio Alto",2537,"Muito Alto"
"177",1300904,"Canutama (AM)",6,"Médio Baixo",0,0,0,0,26,"Baixo"
"178",1302207,"Juruá (AM)",6,"Médio Baixo",0,0,0,0,0,0
"179",1302306,"Jutaí (AM)",6,"Médio Baixo",0,0,0,0,0,0
"180",1302801,"Maraã (AM)",6,"Médio Baixo",0,0,0,0,0,0
"181",1304237,"Tonantins (AM)",6,"Médio Baixo",0,0,0,0,0,0
"182",1701101,"Aparecida do Rio Negro (TO)",6,"Médio Baixo",0,0,0,0,155,"Médio Alto"
"183",1701903,"Araguacema (TO)",6,"Médio Baixo",0,0,0,0,175,"Médio Alto"
"184",1703107,"Barrolândia (TO)",6,"Médio Baixo",0,0,0,0,77,"Médio Baixo"
"185",1703909,"Caseara (TO)",6,"Médio Baixo",0,0,0,0,358,"Médio Alto"
"186",1705557,"Combinado (TO)",6,"Médio Baixo",0,0,0,0,11,"Baixo"
"187",1707306,"Dueré (TO)",6,"Médio Baixo",0,0,5,"Baixo",306,"Médio Alto"
"188",1707405,"Esperantina (TO)",6,"Médio Baixo",0,0,0,0,15,"Baixo"
"189",1708205,"Formoso do Araguaia (TO)",6,"Médio Baixo",0,0,43,"Médio Alto",865,"Muito Alto"
"190",1712504,"Marianópolis do Tocantins (TO)",6,"Médio Baixo",0,0,0,0,364,"Médio Alto"
"191",1713601,"Monte do Carmo (TO)",6,"Médio Baixo",0,0,0,0,185,"Médio Alto"
"192",1717503,"Pium (TO)",6,"Médio Baixo",0,0,0,0,404,"Muito Alto"
"193",1720150,"São Félix do Tocantins (TO)",6,"Médio Baixo",0,0,0,0,3,"Muito Baixo"
"194",1720655,"Silvanópolis (TO)",6,"Médio Baixo",0,0,0,0,122,"Médio Baixo"
"195",1721109,"Tocantínia (TO)",6,"Médio Baixo",0,0,0,0,61,"Médio Baixo"
"196",2104800,"Grajaú (MA)",6,"Médio Baixo",0,0,87,"Muito Alto",1128,"Muito Alto"
"197",5103361,"Conquista D'Oeste (MT)",6,"Médio Baixo",0,0,0,0,200,"Médio Alto"
"198",5106224,"Nova Mutum (MT)",6,"Médio Baixo",0,0,10,"Médio Baixo",3422,"Muito Alto"
"199",5106240,"Nova Ubiratã (MT)",6,"Médio Baixo",0,0,0,0,1929,"Muito Alto"
"200",1300144,"Apuí (AM)",5,"Médio Baixo",0,0,1,"Muito Baixo",7,"Muito Baixo"
"201",1301605,"Fonte Boa (AM)",5,"Médio Baixo",0,0,0,0,0,0
"202",1301951,"Itamarati (AM)",5,"Médio Baixo",0,0,0,0,0,0
"203",1302009,"Itapiranga (AM)",5,"Médio Baixo",0,0,0,0,0,0
"204",1304104,"Tapauá (AM)",5,"Médio Baixo",0,0,0,0,0,0
"205",1506609,"Santa Maria do Pará (PA)",5,"Médio Baixo",0,0,1,"Muito Baixo",50,"Médio Baixo"
"206",1703842,"Campos Lindos (TO)",5,"Médio Baixo",0,0,0,0,448,"Muito Alto"
"207",1707553,"Fátima (TO)",5,"Médio Baixo",0,0,0,0,48,"Médio Baixo"
"208",1720804,"Sítio Novo do Tocantins (TO)",5,"Médio Baixo",0,0,0,0,50,"Médio Baixo"
"209",2101251,"Bacabeira (MA)",5,"Médio Baixo",0,0,212,"Muito Alto",12,"Baixo"
"210",2108207,"Pedreiras (MA)",5,"Médio Baixo",0,0,0,0,36,"Médio Baixo"
"211",2108454,"Peritoró (MA)",5,"Médio Baixo",0,0,0,0,29,"Baixo"
"212",1300060,"Amaturá (AM)",4,"Médio Baixo",0,0,0,0,0,0
"213",1300102,"Anori (AM)",4,"Médio Baixo",0,0,0,0,0,0
"214",1301506,"Envira (AM)",4,"Médio Baixo",0,0,0,0,2,"Muito Baixo"
"215",1301654,"Guajará (AM)",4,"Médio Baixo",0,0,0,0,7,"Muito Baixo"
"216",1303957,"São Sebastião do Uatumã (AM)",4,"Médio Baixo",0,0,0,0,0,0
"217",1501709,"Bragança (PA)",4,"Médio Baixo",0,0,0,0,80,"Médio Baixo"
"218",1501808,"Breves (PA)",4,"Médio Baixo",0,0,0,0,0,0
"219",1505437,"Ourilândia do Norte (PA)",4,"Médio Baixo",0,0,841,"Muito Alto",138,"Médio Alto"
"220",1508001,"Tomé-Açu (PA)",4,"Médio Baixo",0,0,23,"Médio Alto",1823,"Muito Alto"
"221",1508159,"Uruará (PA)",4,"Médio Baixo",0,0,0,0,176,"Médio Alto"
"222",1702901,"Axixá do Tocantins (TO)",4,"Médio Baixo",0,0,0,0,35,"Médio Baixo"
"223",1703800,"Buriti do Tocantins (TO)",4,"Médio Baixo",0,0,0,0,15,"Baixo"
"224",1705607,"Conceição do Tocantins (TO)",4,"Médio Baixo",0,0,0,0,37,"Médio Baixo"
"225",1707652,"Figueirópolis (TO)",4,"Médio Baixo",0,0,0,0,212,"Médio Alto"
"226",1717008,"Pindorama do Tocantins (TO)",4,"Médio Baixo",0,0,1,"Muito Baixo",39,"Médio Baixo"
"227",1718501,"Recursolândia (TO)",4,"Médio Baixo",0,0,0,0,54,"Médio Baixo"
"228",1718758,"Rio Sono (TO)",4,"Médio Baixo",0,0,0,0,61,"Médio Baixo"
"229",1719004,"Santa Tereza do Tocantins (TO)",4,"Médio Baixo",0,0,0,0,24,"Baixo"
"230",1720499,"São Valério (TO)",4,"Médio Baixo",0,0,0,0,100,"Médio Baixo"
"231",2103307,"Codó (MA)",4,"Médio Baixo",0,0,44,"Médio Alto",293,"Médio Alto"
"232",2110005,"Santa Luzia (MA)",4,"Médio Baixo",0,0,0,0,389,"Muito Alto"
"233",2112803,"Viana (MA)",4,"Médio Baixo",0,0,0,0,32,"Baixo"
"234",1300086,"Anamã (AM)",3,"Baixo",0,0,0,0,0,0
"235",1300839,"Caapiranga (AM)",3,"Baixo",0,0,0,0,0,0
"236",1502152,"Canaã dos Carajás (PA)",3,"Baixo",0,0,4275,"Muito Alto",266,"Médio Alto"
"237",1502301,"Capitão Poço (PA)",3,"Baixo",0,0,12,"Médio Baixo",578,"Muito Alto"
"238",1502756,"Concórdia do Pará (PA)",3,"Baixo",0,0,0,0,1091,"Muito Alto"
"239",1503804,"Jacundá (PA)",3,"Baixo",0,0,0,0,155,"Médio Alto"
"240",1505031,"Novo Progresso (PA)",3,"Baixo",0,0,30,"Médio Alto",355,"Médio Alto"
"241",1505809,"Portel (PA)",3,"Baixo",0,0,0,0,139,"Médio Alto"
"242",1506187,"Rondon do Pará (PA)",3,"Baixo",0,0,15,"Médio Baixo",772,"Muito Alto"
"243",1506203,"Salinópolis (PA)",3,"Baixo",0,0,0,0,3,"Muito Baixo"
"244",1506302,"Salvaterra (PA)",3,"Baixo",0,0,0,0,19,"Baixo"
"245",1508209,"Vigia (PA)",3,"Baixo",0,0,8,"Médio Baixo",663,"Muito Alto"
"246",1600055,"Serra do Navio (AP)",3,"Baixo",0,0,0,0,0,0
"247",1700350,"Aliança do Tocantins (TO)",3,"Baixo",0,0,0,0,138,"Médio Alto"
"248",1703206,"Bernardo Sayão (TO)",3,"Baixo",0,0,0,0,153,"Médio Alto"
"249",1703701,"Brejinho de Nazaré (TO)",3,"Baixo",0,0,0,0,333,"Médio Alto"
"250",1706001,"Couto Magalhães (TO)",3,"Baixo",0,0,1,"Muito Baixo",116,"Médio Baixo"
"251",1710706,"Itaguatins (TO)",3,"Baixo",0,0,0,0,69,"Médio Baixo"
"252",1711506,"Jaú do Tocantins (TO)",3,"Baixo",0,0,14,"Médio Baixo",63,"Médio Baixo"
"253",1712009,"Lajeado (TO)",3,"Baixo",0,0,0,0,18,"Baixo"
"254",1712405,"Lizarda (TO)",3,"Baixo",0,0,0,0,16,"Baixo"
"255",1712454,"Luzinópolis (TO)",3,"Baixo",0,0,0,0,50,"Médio Baixo"
"256",1712702,"Mateiros (TO)",3,"Baixo",0,0,0,0,199,"Médio Alto"
"257",1715002,"Nova Rosalândia (TO)",3,"Baixo",0,0,0,0,33,"Baixo"
"258",1715705,"Palmeirante (TO)",3,"Baixo",0,0,11,"Médio Baixo",116,"Médio Baixo"
"259",1718840,"Sandolândia (TO)",3,"Baixo",0,0,0,0,179,"Médio Alto"
"260",1718881,"Santa Maria do Tocantins (TO)",3,"Baixo",0,0,0,0,36,"Médio Baixo"
"261",2101608,"Barra do Corda (MA)",3,"Baixo",0,0,0,0,226,"Médio Alto"
"262",2109601,"Rosário (MA)",3,"Baixo",0,0,36,"Médio Alto",4,"Muito Baixo"
"263",2111508,"São Mateus do Maranhão (MA)",3,"Baixo",0,0,0,0,30,"Baixo"
"264",1100106,"Guajará-Mirim (RO)",2,"Muito Baixo",0,0,0,0,64,"Médio Baixo"
"265",1101468,"Pimenteiras do Oeste (RO)",2,"Muito Baixo",0,0,2,"Baixo",294,"Médio Alto"
"266",1101492,"São Francisco do Guaporé (RO)",2,"Muito Baixo",0,0,6,"Médio Baixo",246,"Médio Alto"
"267",1400472,"Rorainópolis (RR)",2,"Muito Baixo",0,0,11,"Médio Baixo",197,"Médio Alto"
"268",1500404,"Alenquer (PA)",2,"Muito Baixo",0,0,0,0,15,"Baixo"
"269",1502103,"Cametá (PA)",2,"Muito Baixo",0,0,0,0,0,0
"270",1502707,"Conceição do Araguaia (PA)",2,"Muito Baixo",0,0,66,"Muito Alto",273,"Médio Alto"
"271",1502954,"Eldorado do Carajás (PA)",2,"Muito Baixo",0,0,27,"Médio Alto",90,"Médio Baixo"
